City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,kirensk,100,RU,1580454294,87,57.79,108.11,-2.81,8.32
88,saint-donat-de-montcalm,61,CA,1580454294,8,46.32,-74.22,9.0,1.01
89,saldanha,55,ZA,1580454294,87,-33.01,17.94,60.8,8.05
90,tornabe,75,HN,1580454295,83,15.75,-87.55,77.0,2.33
91,hithadhoo,77,MV,1580454295,78,-0.6,73.08,81.5,14.5
92,bambous virieux,75,MU,1580454295,70,-20.34,57.76,84.2,11.41
93,bredasdorp,75,ZA,1580454295,82,-34.53,20.04,69.01,2.24
94,ostrovnoy,6,RU,1580454296,97,68.05,39.51,-2.29,12.97
95,san jose de buan,60,PH,1580454296,61,12.05,125.03,81.21,5.41
96,cape town,75,ZA,1580454296,88,-33.93,18.42,73.0,16.11
97,tasiilaq,100,GL,1580454296,46,65.61,-37.64,28.4,32.21
98,ribeira grande,83,PT,1580454296,91,38.52,-28.7,60.48,18.32
99,mount gambier,90,AU,1580454296,94,-37.83,140.77,77.0,10.29
100,vyshhorod,90,UA,1580454154,87,50.58,30.49,35.01,6.71
101,axim,9,GH,1580454297,97,4.87,-2.24,75.56,1.5
102,elliot,0,ZA,1580454297,32,-31.33,27.85,79.63,5.95
103,norman wells,75,CA,1580454297,68,65.28,-126.83,-18.4,3.69
104,nivala,100,FI,1580454297,90,63.92,25.0,21.99,7.0
105,port lincoln,89,AU,1580454298,50,-34.73,135.87,88.02,12.41
106,champerico,13,GT,1580454298,84,14.3,-91.92,73.76,3.8
107,touros,40,BR,1580454298,88,-5.2,-35.46,75.2,3.36
108,new norfolk,25,AU,1580454299,15,-42.78,147.06,97.0,21.92
109,rolla,90,US,1580454184,100,37.95,-91.77,36.0,2.98
110,lovozero,6,RU,1580454299,94,68.0,35.01,-7.13,12.59
111,niamey,66,NE,1580454299,14,13.51,2.11,69.8,8.05
112,nome,1,US,1580454299,57,64.5,-165.41,-11.0,6.93
113,puerto ayora,39,EC,1580454300,7,-0.74,-90.35,77.0,4.0
114,severo-kurilsk,48,RU,1580454300,89,50.68,156.12,13.41,8.37
115,khani,90,GE,1580454300,81,41.96,42.96,46.4,17.22
116,port alfred,0,ZA,1580454300,82,-33.59,26.89,75.99,3.0
